url,location
www.valleyoptics.com/,"[52.0132438, 4.359768799999999]"
www.barbaar.nl/,"[52.0115379, 4.3539802]"
www.iszgro.nl/,"[51.9970001, 4.3850888]"
elcies.com,"[51.9876592, 4.376999]"
www.planet-b.io,"[52.0155137, 4.3389864]"
www.zepholding.com/,"[51.9971563, 4.3831019]"
www.cbdmiddelen.nl/,"[52.0083723, 4.3611882]"
thefuturemobility.network/,"[51.992878, 4.3846127]"
involvit.nl,"[51.9876616, 4.3768414]"
www.zorgkeuzelab.nl/,"[52.0084416, 4.3602595]"
www.elpanav.com,"[52.0072234, 4.369496199999999]"
http://www.stcorp.nl/,"[52.1582745, 4.489561999999999]"
Kijkmijnhuis.nl,"[52.0123799, 4.353125299999999]"
